CompetitionID,Season,StartDate,EndDate,GolferID,Position,GolferScore
3,2019,2019-09-26T00:00:00, 2019-09-29T00:00:00,2,1,-17
3,2019,2019-09-26T00:00:00, 2019-09-29T00:00:00,108,2,-16
3,2019,2019-09-26T00:00:00, 2019-09-29T00:00:00,42,3,-14
3,2019,2019-09-26T00:00:00, 2019-09-29T00:00:00,234,4,-13
3,2019,2019-09-26T00:00:00, 2019-09-29T00:00:00,45,4,-13
3,2019,2019-09-26T00:00:00, 2019-09-29T00:00:00,234,4,-13
3,2019,2019-09-26T00:00:00, 2019-09-29T00:00:00,82,7,-12
3,2019,2019-09-26T00:00:00, 2019-09-29T00:00:00,136,7,-12
3,2019,2019-09-26T00:00:00, 2019-09-29T00:00:00,123,7,-12
3,2019,2019-09-26T00:00:00, 2019-09-29T00:00:00,100,10,-11
3,2019,2019-09-26T00:00:00, 2019-09-29T00:00:00,121,10,-11
3,2019,2019-09-26T00:00:00, 2019-09-29T00:00:00,121,10,-11
3,2019,2019-09-26T00:00:00, 2019-09-29T00:00:00,41,13,-10
3,2019,2019-09-26T00:00:00, 2019-09-29T00:00:00,84,13,-10
3,2019,2019-09-26T00:00:00, 2019-09-29T00:00:00,147,13,-10
3,2019,2019-09-26T00:00:00, 2019-09-29T00:00:00,181,13,-10
3,2019,2019-09-26T00:00:00, 2019-09-29T00:00:00,114,17,-9
3,2019,2019-09-26T00:00:00, 2019-09-29T00:00:00,195,17,-9
3,2019,2019-09-26T00:00:00, 2019-09-29T00:00:00,192,17,-9
3,2019,2019-09-26T00:00:00, 2019-09-29T00:00:00,18,17,-9
3,2019,2019-09-26T00:00:00, 2019-09-29T00:00:00,163,17,-9
3,2019,2019-09-26T00:00:00, 2019-09-29T00:00:00,25,17,-9
3,2019,2019-09-26T00:00:00, 2019-09-29T00:00:00,148,23,-8
3,2019,2019-09-26T00:00:00, 2019-09-29T00:00:00,171,23,-8
3,2019,2019-09-26T00:00:00, 2019-09-29T00:00:00,161,23,-8
3,2019,2019-09-26T00:00:00, 2019-09-29T00:00:00,187,23,-8
3,2019,2019-09-26T00:00:00, 2019-09-29T00:00:00,83,23,-8
3,2019,2019-09-26T00:00:00, 2019-09-29T00:00:00,63,23,-8
3,2019,2019-09-26T00:00:00, 2019-09-29T00:00:00,174,23,-8
3,2019,2019-09-26T00:00:00, 2019-09-29T00:00:00,64,23,-8
3,2019,2019-09-26T00:00:00, 2019-09-29T00:00:00,184,23,-8
3,2019,2019-09-26T00:00:00, 2019-09-29T00:00:00,69,23,-8
3,2019,2019-09-26T00:00:00, 2019-09-29T00:00:00,196,33,-7
3,2019,2019-09-26T00:00:00, 2019-09-29T00:00:00,186,33,-7
3,2019,2019-09-26T00:00:00, 2019-09-29T00:00:00,39,33,-7
3,2019,2019-09-26T00:00:00, 2019-09-29T00:00:00,34,33,-7
3,2019,2019-09-26T00:00:00, 2019-09-29T00:00:00,72,33,-7
3,2019,2019-09-26T00:00:00, 2019-09-29T00:00:00,73,33,-7
3,2019,2019-09-26T00:00:00, 2019-09-29T00:00:00,33,33,-7
3,2019,2019-09-26T00:00:00, 2019-09-29T00:00:00,88,40,-6
3,2019,2019-09-26T00:00:00, 2019-09-29T00:00:00,141,40,-6
3,2019,2019-09-26T00:00:00, 2019-09-29T00:00:00,37,40,-6
3,2019,2019-09-26T00:00:00, 2019-09-29T00:00:00,22,40,-6
3,2019,2019-09-26T00:00:00, 2019-09-29T00:00:00,145,44,-5
3,2019,2019-09-26T00:00:00, 2019-09-29T00:00:00,162,44,-5
3,2019,2019-09-26T00:00:00, 2019-09-29T00:00:00,61,44,-5
3,2019,2019-09-26T00:00:00, 2019-09-29T00:00:00,113,44,-5
3,2019,2019-09-26T00:00:00, 2019-09-29T00:00:00,31,44,-5
3,2019,2019-09-26T00:00:00, 2019-09-29T00:00:00,122,49,-4
3,2019,2019-09-26T00:00:00, 2019-09-29T00:00:00,119,49,-4
3,2019,2019-09-26T00:00:00, 2019-09-29T00:00:00,92,49,-4
3,2019,2019-09-26T00:00:00, 2019-09-29T00:00:00,215,52,-4
3,2019,2019-09-26T00:00:00, 2019-09-29T00:00:00,105,52,-3
3,2019,2019-09-26T00:00:00, 2019-09-29T00:00:00,204,52,-3
3,2019,2019-09-26T00:00:00, 2019-09-29T00:00:00,68,52,-3
3,2019,2019-09-26T00:00:00, 2019-09-29T00:00:00,169,56,-2
3,2019,2019-09-26T00:00:00, 2019-09-29T00:00:00,54,56,-2
3,2019,2019-09-26T00:00:00, 2019-09-29T00:00:00,99,56,-2
3,2019,2019-09-26T00:00:00, 2019-09-29T00:00:00,198,56,-2
3,2019,2019-09-26T00:00:00, 2019-09-29T00:00:00,86,60,-1
3,2019,2019-09-26T00:00:00, 2019-09-29T00:00:00,183,60,-1
3,2019,2019-09-26T00:00:00, 2019-09-29T00:00:00,190,62,Evs
3,2019,2019-09-26T00:00:00, 2019-09-29T00:00:00,75,62,Evs
3,2019,2019-09-26T00:00:00, 2019-09-29T00:00:00,193,62,Evs
3,2019,2019-09-26T00:00:00, 2019-09-29T00:00:00,535,62,Evs
3,2019,2019-09-26T00:00:00, 2019-09-29T00:00:00,159,MC,Evs
3,2019,2019-09-26T00:00:00, 2019-09-29T00:00:00,5,MC,Evs
3,2019,2019-09-26T00:00:00, 2019-09-29T00:00:00,151,MC,Evs
3,2019,2019-09-26T00:00:00, 2019-09-29T00:00:00,24,MC,Evs
3,2019,2019-09-26T00:00:00, 2019-09-29T00:00:00,156,MC,Evs
3,2019,2019-09-26T00:00:00, 2019-09-29T00:00:00,44,MC,Evs
3,2019,2019-09-26T00:00:00, 2019-09-29T00:00:00,80,MC,Evs
3,2019,2019-09-26T00:00:00, 2019-09-29T00:00:00,112,MC,Evs
3,2019,2019-09-26T00:00:00, 2019-09-29T00:00:00,138,MC,Evs
3,2019,2019-09-26T00:00:00, 2019-09-29T00:00:00,218,MC,Evs
3,2019,2019-09-26T00:00:00, 2019-09-29T00:00:00,85,MC,Evs
3,2019,2019-09-26T00:00:00, 2019-09-29T00:00:00,93,MC,Evs
3,2019,2019-09-26T00:00:00, 2019-09-29T00:00:00,168,MC,Evs
3,2019,2019-09-26T00:00:00, 2019-09-29T00:00:00,56,MC,Evs
3,2019,2019-09-26T00:00:00, 2019-09-29T00:00:00,87,MC,-1
3,2019,2019-09-26T00:00:00, 2019-09-29T00:00:00,28,MC,-1
3,2019,2019-09-26T00:00:00, 2019-09-29T00:00:00,124,MC,-1
3,2019,2019-09-26T00:00:00, 2019-09-29T00:00:00,177,MC,-1
3,2019,2019-09-26T00:00:00, 2019-09-29T00:00:00,101,MC,-1
3,2019,2019-09-26T00:00:00, 2019-09-29T00:00:00,109,MC,-1
3,2019,2019-09-26T00:00:00, 2019-09-29T00:00:00,53,MC,-1
3,2019,2019-09-26T00:00:00, 2019-09-29T00:00:00,200,MC,-1
3,2019,2019-09-26T00:00:00, 2019-09-29T00:00:00,157,MC,-1
3,2019,2019-09-26T00:00:00, 2019-09-29T00:00:00,16,MC,-1
3,2019,2019-09-26T00:00:00, 2019-09-29T00:00:00,66,MC,-1
3,2019,2019-09-26T00:00:00, 2019-09-29T00:00:00,189,MC,-1
3,2019,2019-09-26T00:00:00, 2019-09-29T00:00:00,197,MC,-1
3,2019,2019-09-26T00:00:00, 2019-09-29T00:00:00,142,MC,-1
3,2019,2019-09-26T00:00:00, 2019-09-29T00:00:00,70,MC,-1
3,2019,2019-09-26T00:00:00, 2019-09-29T00:00:00,117,MC,-1
3,2019,2019-09-26T00:00:00, 2019-09-29T00:00:00,30,MC,-1
3,2019,2019-09-26T00:00:00, 2019-09-29T00:00:00,137,MC,-1
3,2019,2019-09-26T00:00:00, 2019-09-29T00:00:00,817,MC,+1
3,2019,2019-09-26T00:00:00, 2019-09-29T00:00:00,173,MC,+1
3,2019,2019-09-26T00:00:00, 2019-09-29T00:00:00,135,MC,+1
3,2019,2019-09-26T00:00:00, 2019-09-29T00:00:00,143,MC,+1
3,2019,2019-09-26T00:00:00, 2019-09-29T00:00:00,146,MC,+1
3,2019,2019-09-26T00:00:00, 2019-09-29T00:00:00,160,MC,+1
3,2019,2019-09-26T00:00:00, 2019-09-29T00:00:00,103,MC,+1
3,2019,2019-09-26T00:00:00, 2019-09-29T00:00:00,60,MC,+1
3,2019,2019-09-26T00:00:00, 2019-09-29T00:00:00,48,MC,+1
3,2019,2019-09-26T00:00:00, 2019-09-29T00:00:00,32,MC,+2
3,2019,2019-09-26T00:00:00, 2019-09-29T00:00:00,216,MC,+2
3,2019,2019-09-26T00:00:00, 2019-09-29T00:00:00,7,MC,+2
3,2019,2019-09-26T00:00:00, 2019-09-29T00:00:00,49,MC,+2
3,2019,2019-09-26T00:00:00, 2019-09-29T00:00:00,1048,MC,+2
3,2019,2019-09-26T00:00:00, 2019-09-29T00:00:00,14,MC,+2
3,2019,2019-09-26T00:00:00, 2019-09-29T00:00:00,144,MC,+2
3,2019,2019-09-26T00:00:00, 2019-09-29T00:00:00,58,MC,+2
3,2019,2019-09-26T00:00:00, 2019-09-29T00:00:00,35,MC,+2
3,2019,2019-09-26T00:00:00, 2019-09-29T00:00:00,152,MC,+2
3,2019,2019-09-26T00:00:00, 2019-09-29T00:00:00,222,MC,+2
3,2019,2019-09-26T00:00:00, 2019-09-29T00:00:00,65,MC,+2
3,2019,2019-09-26T00:00:00, 2019-09-29T00:00:00,175,MC,+2
3,2019,2019-09-26T00:00:00, 2019-09-29T00:00:00,79,MC,+2
3,2019,2019-09-26T00:00:00, 2019-09-29T00:00:00,23,MC,+3
3,2019,2019-09-26T00:00:00, 2019-09-29T00:00:00,176,MC,+3
3,2019,2019-09-26T00:00:00, 2019-09-29T00:00:00,188,MC,+3
3,2019,2019-09-26T00:00:00, 2019-09-29T00:00:00,118,MC,+3
3,2019,2019-09-26T00:00:00, 2019-09-29T00:00:00,221,MC,+3
3,2019,2019-09-26T00:00:00, 2019-09-29T00:00:00,421,MC,+3
3,2019,2019-09-26T00:00:00, 2019-09-29T00:00:00,13,66,+4
3,2019,2019-09-26T00:00:00, 2019-09-29T00:00:00,132,MC,+4
3,2019,2019-09-26T00:00:00, 2019-09-29T00:00:00,91,MC,+4
3,2019,2019-09-26T00:00:00, 2019-09-29T00:00:00,412,MC,+4
3,2019,2019-09-26T00:00:00, 2019-09-29T00:00:00,76,MC,+4
3,2019,2019-09-26T00:00:00, 2019-09-29T00:00:00,52,67,+5
3,2019,2019-09-26T00:00:00, 2019-09-29T00:00:00,19,MC,+5
3,2019,2019-09-26T00:00:00, 2019-09-29T00:00:00,1016,MC,+5
3,2019,2019-09-26T00:00:00, 2019-09-29T00:00:00,364,MC,+5
3,2019,2019-09-26T00:00:00, 2019-09-29T00:00:00,107,MC,+5
3,2019,2019-09-26T00:00:00, 2019-09-29T00:00:00,96,MC,+5
3,2019,2019-09-26T00:00:00, 2019-09-29T00:00:00,149,MC,+5
3,2019,2019-09-26T00:00:00, 2019-09-29T00:00:00,1058,MC,+6
3,2019,2019-09-26T00:00:00, 2019-09-29T00:00:00,223,MC,+7
3,2019,2019-09-26T00:00:00, 2019-09-29T00:00:00,155,MC,+7
3,2019,2019-09-26T00:00:00, 2019-09-29T00:00:00,194,MC,+9
3,2019,2019-09-26T00:00:00, 2019-09-29T00:00:00,209,MC,+10
3,2019,2019-09-26T00:00:00, 2019-09-29T00:00:00,225,MC,+11
